Baseline_Time,UTrust_Time
0.0,0.024930715560913086
0.0,0.01962590217590332
0.0,0.015884876251220703
0.0,0.03329062461853027
0.0,0.0138397216796875
0.0,0.03217601776123047
0.0,0.0198972225189209
0.0,0.011922359466552734
0.0,0.015877962112426758
0.0,0.03233027458190918
0.0,0.015837430953979492
0.0,0.029923200607299805
0.0,0.01954483985900879
0.0,0.014174699783325195
0.0,0.0157625675201416
0.0,0.020189762115478516
0.0,0.028036117553710938
0.0,0.019984006881713867
0.0,0.015027999877929688
0.0,0.029765605926513672
0.0,0.026499509811401367
0.0,0.020101070404052734
0.0,0.019339799880981445
0.0,0.011492729187011719
0.0,0.015116691589355469
0.0,0.03192424774169922
0.0,0.01708507537841797
0.0,0.015137672424316406
0.0,0.03525543212890625
0.0,0.012392282485961914
0.0,0.015786170959472656
0.0,0.03238821029663086
0.0,0.015849590301513672
0.0,0.03210592269897461
0.0,0.03204774856567383
0.0,0.021709918975830078
0.0,0.02084636688232422
0.0,0.021108627319335938
0.0,0.02028369903564453
0.0,0.02078986167907715
0.0,0.018610239028930664
0.0,0.023982763290405273
0.0,0.016583681106567383
0.0,0.010436534881591797
0.0,0.031804561614990234
0.0,0.017840147018432617
0.0,0.019297122955322266
0.0,0.026979446411132812
0.0,0.020221233367919922
0.0,0.01726388931274414
0.0,0.02625417709350586
0.0,0.01981377601623535
0.0,0.028061389923095703
0.0,0.018853425979614258
0.0,0.015454769134521484
0.0,0.030295610427856445
0.0,0.015903234481811523
0.0,0.017949581146240234
0.0,0.02989673614501953
0.0,0.020676136016845703
0.0,0.012679815292358398
0.0,0.015857458114624023
0.0,0.02964329719543457
0.0,0.025918960571289062
0.0,0.025569677352905273
0.0,0.027271032333374023
0.0,0.01999807357788086
0.0,0.012017965316772461
0.0,0.015755653381347656
0.0,0.035953521728515625
0.0,0.012172222137451172
0.0,0.016178369522094727
0.0,0.018782854080200195
0.0,0.029142141342163086
0.0,0.0240631103515625
0.0,0.01151132583618164
0.0,0.029909849166870117
0.0,0.02221846580505371
0.0,0.020784378051757812
0.0,0.01900959014892578
0.0,0.017981767654418945
0.0,0.029842138290405273
0.0,0.020998477935791016
0.0,0.021904706954956055
0.0,0.019656658172607422
0.0,0.021263599395751953
0.0,0.020465612411499023
0.0,0.02124333381652832
0.0,0.01928234100341797
0.0,0.02557229995727539
0.0,0.017762422561645508
0.0,0.013851404190063477
0.0,0.015881061553955078
0.0,0.03373575210571289
0.0,0.013772249221801758
0.0,0.032473087310791016
0.0,0.015271902084350586
0.0,0.01608872413635254
0.0,0.016075849533081055
0.0,0.03219294548034668
0.0,0.016094684600830078
0.0,0.01977396011352539
0.0,0.016068458557128906
0.0,0.028089523315429688
0.0,0.0162198543548584
0.0,0.026152372360229492
0.0,0.005752086639404297
0.0,0.036269426345825195
0.0,0.015037059783935547
0.0,0.030240774154663086
0.0,0.02152872085571289
0.0,0.02099442481994629
0.0,0.022303104400634766
0.0,0.011964559555053711
0.0,0.03208780288696289
0.0,0.016209840774536133
0.0,0.01622605323791504
0.0,0.02935194969177246
0.0,0.019939899444580078
0.0,0.014723062515258789
0.0,0.01742386817932129
0.0,0.029777050018310547
0.0,0.01925039291381836
0.0,0.021080970764160156
0.0,0.029295682907104492
0.0,0.020499467849731445
0.0,0.021180152893066406
0.0,0.01496434211730957
0.0,0.017487525939941406
0.0,0.03022289276123047
0.0,0.02196526527404785
0.0,0.019199371337890625
0.0,0.028363466262817383
0.0,0.015823841094970703
0.0,0.02583146095275879
0.0,0.01551055908203125
0.0,0.015886545181274414
0.0,0.03174257278442383
0.0,0.01790475845336914
0.0,0.029693603515625
0.0,0.01618027687072754
0.0,0.018078088760375977
0.0,0.029779434204101562
0.0,0.01573038101196289
0.0,0.03709554672241211
0.0,0.02152848243713379
0.0,0.020586013793945312
0.0,0.015994787216186523
0.0,0.015182733535766602
0.0,0.034148216247558594
0.0,0.01375579833984375
0.0,0.03110194206237793
0.0,0.02124309539794922
0.0,0.02756357192993164
0.0,0.015883445739746094
0.0,0.026111841201782227
0.0,0.009242057800292969
0.0,0.02829766273498535
0.0,0.02612447738647461
0.0,0.021528959274291992
0.0,0.019057035446166992
0.0,0.015091896057128906
0.0,0.030017614364624023
0.0,0.016057729721069336
0.0,0.03266572952270508
0.0,0.02300262451171875
0.0,0.02303624153137207
0.0,0.023273468017578125
0.0,0.013400554656982422
0.0,0.030520915985107422
0.0,0.025582075119018555
0.0,0.01783156394958496
0.0,0.01800394058227539
0.0,0.025716066360473633
0.0,0.022060155868530273
0.0,0.014540433883666992
0.0,0.015062570571899414
0.0,0.032102346420288086
0.0,0.018150806427001953
0.0,0.016147375106811523
0.0,0.030251502990722656
0.0,0.018035173416137695
0.0,0.018795251846313477
0.0,0.027432680130004883
0.0,0.020208358764648438
0.0,0.011725902557373047
0.0,0.016164541244506836
0.0,0.031913042068481445
0.0,0.017782211303710938
0.0,0.014111042022705078
0.0,0.031688690185546875
0.0,0.01614236831665039
0.0,0.01605844497680664
0.0,0.026268720626831055
0.0,0.022009611129760742
0.0,0.017823219299316406
0.0,0.014267921447753906
0.0,0.031989097595214844
0.0,0.015964984893798828
0.0,0.015840768814086914
0.0,0.031908273696899414
0.0,0.016126155853271484
0.0,0.01616072654724121
0.0,0.02995443344116211
0.0,0.0179595947265625
0.0,0.017804622650146484
0.0,0.01977229118347168
0.0,0.013802289962768555
0.0,0.027390241622924805
0.0,0.018118619918823242
0.0,0.030129671096801758
0.0,0.018830537796020508
0.0,0.024167776107788086
0.0,0.020786762237548828
0.0,0.015970706939697266
0.0,0.033598899841308594
0.0,0.018210411071777344
0.0,0.011982202529907227
0.0,0.024469614028930664
0.0,0.023151636123657227
0.0,0.01605963706970215
0.0,0.020474672317504883
0.0,0.034395694732666016
0.0,0.039757728576660156
0.0,0.05629897117614746
0.0,0.041939496994018555
0.0,0.03570556640625
0.0,0.03748679161071777
0.0,0.03151679039001465
0.0,0.04590559005737305
0.0,0.03797626495361328
0.0,0.04162025451660156
0.0,0.036023855209350586
0.0,0.029488563537597656
0.0,0.04776287078857422
0.0,0.039453744888305664
0.0,0.03483700752258301
0.0,0.03766942024230957
0.0,0.03540396690368652
0.0,0.036776065826416016
0.0,0.03749394416809082
0.0,0.0418400764465332
0.0,0.03728985786437988
0.0,0.03210043907165527
0.0,0.03348875045776367
0.0,0.04556989669799805
0.0,0.03195953369140625
0.0,0.038271188735961914
0.0,0.04302072525024414
0.0,0.030902385711669922
0.0,0.048517704010009766
0.0,0.03531169891357422
0.0,0.031885623931884766
0.0,0.04576826095581055
0.0,0.02826547622680664
0.0,0.0473783016204834
0.0,0.03269624710083008
0.0,0.04777932167053223
0.0,0.038419485092163086
0.0,0.037558555603027344
0.0,0.035730838775634766
0.0,0.027636289596557617
0.0,0.0497441291809082
0.0,0.02979755401611328
0.0,0.04766106605529785
0.0,0.03856301307678223
0.0,0.028714418411254883
0.0,0.04772496223449707
0.0,0.027457714080810547
0.0,0.0472562313079834
0.0,0.03734397888183594
0.0,0.040312767028808594
0.0,0.03388214111328125
0.0,0.04129767417907715
0.0,0.09137487411499023
0.0,0.07132816314697266
0.0,0.041834354400634766
0.0,0.19181036949157715
0.0,0.12378072738647461
0.0,0.03572559356689453
0.0,0.03807997703552246
0.0,0.03682351112365723
0.0,0.0331873893737793
0.0,0.045488595962524414
0.0,0.03734230995178223
0.0,0.037233591079711914
0.0,0.04097604751586914
0.0,0.03754091262817383
0.0,0.03792309761047363
0.0,0.03959989547729492
0.0,0.03998732566833496
0.0,0.04083657264709473
0.0,0.041156768798828125
0.0,0.03920459747314453
0.0004794597625732422,0.036956071853637695
0.0,0.03753495216369629
0.0,0.03923320770263672
0.0,0.13614416122436523
0.0,0.0557708740234375
0.0,0.05259418487548828
0.0,0.09804821014404297
0.0,0.05569195747375488
0.0,0.042841434478759766
0.0,0.0442812442779541
0.0,0.03554511070251465
0.0,0.04894065856933594
0.0,0.044577598571777344
0.0,0.048166751861572266
0.0,0.05756545066833496
0.0,0.07071232795715332
0.0,0.05004715919494629
0.0,0.04766368865966797
0.0,0.06815218925476074
0.0,0.05826139450073242
0.0005524158477783203,0.07176637649536133
0.0,0.09956192970275879
0.0,0.04564929008483887
0.0,0.044582366943359375
0.0,0.046088218688964844
0.0,0.10758137702941895
0.0,0.06421780586242676
0.0,0.053307533264160156
0.0,0.07155609130859375
0.0,0.04715919494628906
0.0,0.06385302543640137
0.0,0.04189753532409668
0.0,0.04393649101257324
0.0,0.04005265235900879
0.0,0.04681706428527832
0.0,0.04327130317687988
0.0,0.04412508010864258
0.0,0.04128432273864746
0.0,0.04200911521911621
0.0,0.07255053520202637
0.0,0.050020694732666016
0.0,0.049861907958984375
0.0,0.04276156425476074
0.0,0.04741072654724121
0.0,0.03977489471435547
0.0,0.04758763313293457
0.0,0.04842877388000488
0.0,0.0418546199798584
0.0,0.04815101623535156
0.0,0.04043722152709961
0.0,0.03800368309020996
0.0,0.042877912521362305
0.0,0.04268693923950195
0.0,0.0399012565612793
0.0,0.03991198539733887
0.0,0.04011964797973633
0.0,0.049828529357910156
0.0,0.050307273864746094
0.0,0.07994961738586426
0.0,0.0799722671508789
0.0,0.04657912254333496
0.0,0.03805375099182129
0.0,0.039674997329711914
0.0,0.03893852233886719
0.0,0.04193735122680664
0.0,0.03485751152038574
0.0,0.047350168228149414
0.0,0.04248952865600586
0.0,0.04199385643005371
0.0,0.03936481475830078
0.0,0.038689374923706055
0.0,0.0470125675201416
0.0,0.060036659240722656
0.0,0.05275392532348633
0.0,0.07077693939208984
0.0,0.04541730880737305
0.0,0.044487714767456055
0.0,0.11947774887084961
0.0,0.0501863956451416
0.0,0.04995226860046387
0.0,0.062073469161987305
0.0,0.057831764221191406
0.0,0.0498349666595459
0.0,0.040123939514160156
0.0,0.045839548110961914
0.0,0.03423309326171875
0.0,0.048279762268066406
0.0,0.04514288902282715
0.0,0.046704769134521484
0.0,0.0580596923828125
0.0,0.04871010780334473
0.0,0.0583498477935791
0.0,0.04233813285827637
0.0,0.038717031478881836
0.0,0.04996013641357422
0.0,0.037837982177734375
0.0,0.0541834831237793
0.0,0.05892205238342285
0.0,0.0429229736328125
0.0,0.040009260177612305
0.0,0.03975796699523926
0.0,0.04998326301574707
0.0,0.040049076080322266
0.0,0.03272438049316406
0.0,0.0507502555847168
0.0,0.04061722755432129
0.0,0.03990435600280762
0.0,0.03756594657897949
0.0,0.04144859313964844
0.0,0.049056291580200195
0.0,0.038201332092285156
0.0,0.039568424224853516
0.0,0.04274296760559082
0.0,0.04751729965209961
0.0,0.03987884521484375
0.0,0.03955817222595215
0.0,0.04025554656982422
0.0,0.03997039794921875
0.0,0.041822195053100586
0.0,0.04080629348754883
0.0,0.041161298751831055
0.0,0.035932064056396484
0.0,0.04821276664733887
0.0,0.03886580467224121
0.0,0.03566765785217285
0.0,0.04960274696350098
0.0,0.037760019302368164
0.0,0.043504953384399414
0.0,0.04653000831604004
0.0,0.052042484283447266
0.0,0.037874460220336914
0.0,0.04168295860290527
0.0,0.04175543785095215
0.0,0.04152059555053711
0.0,0.049559831619262695
0.0,0.0572657585144043
0.0,0.03306460380554199
0.0,0.04042196273803711
0.0,0.042113542556762695
0.0,0.03437352180480957
0.0,0.04021787643432617
0.0,0.04162263870239258
0.0,0.0365450382232666
0.0,0.03995466232299805
0.0,0.04015183448791504
0.0,0.04112958908081055
0.0,0.04208040237426758
0.0,0.04660654067993164
0.0,0.04510211944580078
0.0,0.04861617088317871
0.0,0.03617739677429199
0.0,0.04656195640563965
0.0,0.03852558135986328
0.0,0.05019116401672363
0.0,0.038359880447387695
0.0,0.04659080505371094
0.0,0.03963589668273926
0.0,0.04036402702331543
0.0,0.04503583908081055
0.0,0.03982901573181152
0.0,0.05087161064147949
0.0,0.04397392272949219
0.0,0.04349017143249512
0.0,0.04161429405212402
0.0,0.04190564155578613
0.0,0.042970895767211914
0.0,0.04026913642883301
0.0,0.03977513313293457
0.0,0.04368400573730469
0.0,0.03982996940612793
0.0,0.046605825424194336
0.0,0.045781850814819336
0.0,0.054274559020996094
0.0,0.049901485443115234
0.0,0.055216073989868164
0.0,0.04328584671020508
0.0,0.04261636734008789
0.0,0.03858184814453125
0.0,0.04013705253601074
0.0,0.050112009048461914
0.0,0.04362034797668457
0.0,0.04070448875427246
0.0,0.04579019546508789
0.0,0.040017127990722656
0.0,0.04389357566833496
0.0,0.03818345069885254
0.0,0.04764437675476074
0.0,0.05440807342529297
0.0,0.038361549377441406
0.0,0.04538416862487793
0.0,0.04420590400695801
0.0,0.038007259368896484
0.0,0.045089006423950195
0.0,0.042279958724975586
0.0,0.04221057891845703
0.0,0.03998732566833496
0.0,0.040201663970947266
0.0,0.0468142032623291
0.0,0.043039560317993164
0.0,0.04200458526611328
0.0,0.038353919982910156
0.0,0.04383254051208496
0.0,0.049720048904418945
0.0,0.03612041473388672
0.0,0.04004955291748047
0.0,0.04258584976196289
